GeneID,Tissue,Measure,Type,Measure_log
GRMZM2G074361,Female.Spikelet.Collected.on.day.as.silk,19.410376666666668,mRNA,1.2880339631404303
GRMZM2G109959,Female.Spikelet.Collected.on.day.as.silk,5.956246666666666,mRNA,0.7749726749354042
GRMZM2G063756,Female.Spikelet.Collected.on.day.as.silk,360.9936666666667,mRNA,2.557499582637385
GRMZM2G063431,Female.Spikelet.Collected.on.day.as.silk,1793.9499999999998,mRNA,3.2538103344568454
GRMZM2G025441,Female.Spikelet.Collected.on.day.as.silk,1.1363333333333334,mRNA,0.05550574650922876
GRMZM2G094712,Female.Spikelet.Collected.on.day.as.silk,202.91966666666667,mRNA,2.3073241402364064
GRMZM2G041238,Female.Spikelet.Collected.on.day.as.silk,795.9986666666667,mRNA,2.900912340275616
GRMZM2G044800,Female.Spikelet.Collected.on.day.as.silk,486.8413333333333,mRNA,2.6873874431745874
GRMZM2G397242,Female.Spikelet.Collected.on.day.as.silk,5.685896666666667,mRNA,0.7547989627226522
GRMZM2G700188,Female.Spikelet.Collected.on.day.as.silk,450.4203333333333,mRNA,2.6536179876495534
GRMZM2G081843,Female.Spikelet.Collected.on.day.as.silk,0.1798213333333333,mRNA,-0.7451587864662716
GRMZM2G162529,Female.Spikelet.Collected.on.day.as.silk,11.250793333333334,mRNA,1.0511831471710535
GRMZM2G158304,Female.Spikelet.Collected.on.day.as.silk,284.6383333333334,mRNA,2.4542933877864503
GRMZM2G016836,Female.Spikelet.Collected.on.day.as.silk,2.051856666666667,mRNA,0.3121470196708217
GRMZM2G090505,Female.Spikelet.Collected.on.day.as.silk,4.0337966666666665,mRNA,0.6057140027586828
GRMZM2G001696,Female.Spikelet.Collected.on.day.as.silk,14.59871333333333,mRNA,1.1643145806572173
GRMZM2G012119,Female.Spikelet.Collected.on.day.as.silk,2.9216166666666665,mRNA,0.4656232333393909
GRMZM2G139349,Female.Spikelet.Collected.on.day.as.silk,181.69000000000003,mRNA,2.259331024917654
GRMZM2G146173,Female.Spikelet.Collected.on.day.as.silk,216.79966666666667,mRNA,2.3360586101313925
GRMZM2G056252,Female.Spikelet.Collected.on.day.as.silk,255.21233333333336,mRNA,2.406901658172888
AC199315.4_FG001,Female.Spikelet.Collected.on.day.as.silk,193.46866666666665,mRNA,2.2866106386280873
GRMZM2G321725,Female.Spikelet.Collected.on.day.as.silk,317.91066666666666,mRNA,2.502305099782522
